"predictor","tree_count"
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,12
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,0
2.15,0
2.2,0
2.25,0
2.3,0
2.35,0
2.4,0
2.45,0
2.5,0
2.55,5
2.6,0
2.65,0
2.7,0
2.75,0
2.8,0
2.85,0
2.9,0
2.95,6
3,0
3.05,0
3.1,8
3.15,0
3.2,0
3.25,0
3.3,0
3.35,0
3.4,15
3.45,0
3.5,0
3.55,8
3.6,0
3.65,8
3.7,0
3.75,0
3.8,16
3.85,0
3.9,0
3.95,0
4,6
4.05,0
4.1,0
4.15,9
4.2,0
4.25,0
4.3,4
4.35,0
4.4,0
4.45,0
4.5,6
4.55,0
4.6,0
4.65,0
4.7,9
4.75,0
4.8,26
4.85,0
4.9,0
4.95,0
5,0
5.05,0
5.1,0
5.15,0
5.2,0
5.25,0
5.3,0
5.35,0
5.4,19
5.45,0
5.5,0
5.55,0
5.6,0
5.65,0
5.7,8
5.75,0
5.8,0
5.85,9
5.9,0
5.95,0
6,8
6.05,0
6.1,0
6.15,0
6.2,0
6.25,0
6.3,0
6.35,0
6.4,9
6.45,0
6.5,0
6.55,8
6.6,0
6.65,0
6.7,0
6.75,0
6.8,0
6.85,9
6.9,0
6.95,0
7,9
7.05,0
7.1,9
7.15,0
7.2,8
7.25,0
7.3,0
7.35,0
7.4,0
7.45,5
7.5,9
7.55,0
7.6,0
7.65,0
7.7,0
7.75,11
7.8,0
7.85,7
7.9,6
7.95,9
8,0
8.05,0
8.1,0
8.15,23
8.2,13
8.25,0
8.3,11
8.35,0
8.4,4
8.45,13
8.5,8
8.55,0
8.6,0
8.65,0
8.7,12
8.75,0
8.8,0
8.85,23
8.9,19
8.95,10
9,6
9.05,0
9.1,16
9.15,0
9.2,0
9.25,6
9.3,18
9.35,0
9.4,0
9.45,1
9.5,0
9.55,8
9.6,0
9.65,0
9.7,0
9.75,0
9.8,4
9.85,0
9.9,6
9.95,0
10,0
10.05,6
10.1,10
10.15,17
10.2,0
10.25,0
10.3,7
10.35,0
10.4,0
10.45,0
10.5,0
10.55,16
10.6,12
10.65,0
10.7,0
10.75,21
10.8,12
10.85,0
10.9,1
10.95,10
11,0
11.05,0
11.1,0
11.15,11
11.2,0
11.25,22
11.3,9
11.35,13
11.4,1
11.45,0
11.5,18
11.55,10
11.6,18
11.65,11
11.7,9
11.75,0
11.8,5
11.85,11
11.9,0
11.95,0
12,0
12.05,0
12.1,3
12.15,8
12.2,11
12.25,7
12.3,0
12.35,0
12.4,11
12.45,8
12.5,11
12.55,5
12.6,8
12.65,4
12.7,18
12.75,8
12.8,0
12.85,9
12.9,0
12.95,0
13,0
13.05,0
13.1,0
13.15,2
13.2,9
13.25,3
13.3,7
13.35,7
13.4,4
13.45,0
13.5,15
13.55,0
13.6,12
13.65,5
13.7,0
13.75,0
13.8,4
13.85,0
13.9,14
13.95,0
14,0
14.05,10
14.1,0
14.15,0
14.2,0
14.25,3
14.3,5
14.35,12
14.4,13
14.45,23
14.5,6
14.55,9
14.6,0
14.65,8
14.7,6
14.75,16
14.8,25
14.85,11
14.9,0
14.95,9
15,11
15.05,0
15.1,16
15.15,10
15.2,0
15.25,17
15.3,5
15.35,16
15.4,0
15.45,4
15.5,0
15.55,0
15.6,21
