"predictor","tree_count"
0.1,0
0.13,0
0.16,0
0.19,0
0.22,0
0.25,0
0.28,0
0.31,0
0.34,0
0.37,0
0.4,0
0.43,0
0.46,0
0.49,0
0.52,0
0.55,0
0.58,0
0.61,0
0.64,1
0.67,0
0.7,0
0.73,0
0.76,0
0.79,1
0.82,0
0.85,0
0.88,0
0.91,0
0.94,1
0.97,0
1,1
1.03,3
1.06,2
1.09,0
1.12,0
1.15,0
1.18,1
1.21,0
1.24,0
1.27,1
1.3,1
1.33,0
1.36,1
1.39,1
1.42,1
1.45,0
1.48,0
1.51,0
1.54,0
1.57,2
1.6,2
1.63,0
1.66,0
1.69,0
1.72,0
1.75,0
1.78,1
1.81,0
1.84,1
1.87,1
1.9,2
1.93,0
1.96,0
1.99,2
2.02,4
2.05,0
2.08,0
2.11,1
2.14,0
2.17,1
2.2,1
2.23,1
2.26,1
2.29,0
2.32,6
2.35,0
2.38,2
2.41,3
2.44,1
2.47,1
2.5,0
2.53,5
2.56,3
2.59,0
2.62,0
2.65,2
2.68,2
2.71,0
2.74,1
2.77,0
2.8,0
2.83,2
2.86,1
2.89,1
2.92,0
2.95,4
2.98,2
3.01,3
3.04,0
3.07,2
3.1,0
3.13,0
3.16,4
3.19,2
3.22,3
3.25,9
3.28,0
3.31,7
3.34,5
3.37,0
3.4,2
3.43,5
3.46,8
3.49,2
3.52,3
3.55,5
3.58,0
3.61,3
3.64,3
3.67,2
3.7,4
3.73,8
3.76,9
3.79,0
3.82,4
3.85,0
3.88,5
3.91,3
3.94,0
3.97,2
4,3
4.03,5
4.06,4
4.09,1
4.12,6
4.15,4
4.18,9
4.21,3
4.24,6
4.27,2
4.3,7
4.33,4
4.36,2
4.39,0
4.42,6
4.45,3
4.48,0
4.51,0
4.54,2
4.57,6
4.6,6
4.63,4
4.66,4
4.69,5
4.72,8
4.75,3
4.78,3
4.81,4
4.84,4
4.87,7
4.9,3
4.93,5
4.96,4
4.99,5
